run_id,ticker,horizon,W_star,rho_train,rho_test
20260303T231001Z,AMD,10,60,0.2406984774587195,-0.09317188836556668
20260303T231001Z,AMD,21,40,0.2467084765802301,-0.21599589668643382
20260303T231001Z,AMD,31,300,0.24077669012631528,-0.5310662511854761
20260303T231001Z,AMD,42,300,0.23026546925245348,-0.4942812704280594
20260303T231001Z,AME,10,300,0.4389361287188306,-0.10422032268001703
20260303T231001Z,AME,21,300,0.5056092615589122,-0.0339507820423851
20260303T231001Z,AME,31,300,0.5437264715112697,-0.33790814252811263
20260303T231001Z,AME,42,300,0.5859823293296075,-0.6091427540968826
20260303T231001Z,AMGN,10,120,0.18971825209406207,-0.029278145527549544
20260303T231001Z,AMGN,21,120,0.16734237919893838,-0.04368841406493102
20260303T231001Z,AMGN,31,120,0.13715500069602898,0.09966689401773339
20260303T231001Z,AMGN,42,120,0.11509905849379566,0.32992372290293337
20260303T231001Z,AMP,10,280,0.5456454280754036,0.09217413885325328
20260303T231001Z,AMP,21,280,0.5953511441262196,-0.09009410944579992
20260303T231001Z,AMP,31,280,0.6162454977786469,-0.28539321032578446
20260303T231001Z,AMP,42,300,0.6364770201696828,-0.6384825192164642
20260303T231001Z,AMT,10,180,0.34837927426017634,0.2842776649581923
20260303T231001Z,AMT,21,180,0.3470885331253296,0.37361866818440526
20260303T231001Z,AMT,31,180,0.33386974424309185,0.33483676828640996
20260303T231001Z,AMT,42,300,0.3102025152213839,0.002457002457002457
20260303T231001Z,AMZN,10,300,0.3524075868005272,0.060426537801425435
20260303T231001Z,AMZN,21,300,0.4250594866047129,0.07087492660011745
20260303T231001Z,AMZN,31,300,0.4846253583966596,-0.3012328952716433
20260303T231001Z,AMZN,42,300,0.5152833593528496,-0.6339201586908009
20260303T231001Z,ANET,10,260,0.4649065076509526,0.09922556385739069
20260303T231001Z,ANET,21,260,0.4751924979951327,-0.13833969328245374
20260303T231001Z,ANET,31,260,0.4691368300045894,-0.274686565447435
20260303T231001Z,ANET,42,260,0.4473792003946515,-0.28628294590870706
20260303T231001Z,AON,10,80,0.4705628280239025,0.26891004483661746
20260303T231001Z,AON,21,80,0.40759355969148564,0.232496114996115
20260303T231001Z,AON,31,80,0.33566022211438035,0.06848006682222202
20260303T231001Z,AON,42,100,0.2716480182663585,0.04984275288689184
20260303T231001Z,AOS,10,280,0.48197012814667517,-0.2580060150078822
20260303T231001Z,AOS,21,280,0.5969346357258967,-0.2745555942837225
20260303T231001Z,AOS,31,300,0.669099018267854,-0.5034344939710065
20260303T231001Z,AOS,42,300,0.6966908909268673,-0.4291098437887429
20260303T231001Z,APA,10,280,0.5139226863492926,0.04692185993866442
20260303T231001Z,APA,21,280,0.573470965856391,0.17324503311258277
20260303T231001Z,APA,31,280,0.5923947170051025,0.35756239565049874
20260303T231001Z,APA,42,280,0.5931365717204202,0.4981004793183028
20260303T231001Z,APD,10,100,0.22485591314917294,0.11721550569823325
20260303T231001Z,APD,21,60,0.2604269923862792,0.02578483187125914
20260303T231001Z,APD,31,60,0.2671455332254614,-0.021394683276962395
20260303T231001Z,APD,42,60,0.24013415974400215,0.001633272808057908
20260303T231001Z,APH,10,280,0.52077118518453,0.12343750220517359
20260303T231001Z,APH,21,300,0.5942008592471639,-0.2130571718357978
20260303T231001Z,APH,31,300,0.6037438468817218,-0.5654450616447635
20260303T231001Z,APH,42,300,0.62215924553158,-0.8578815679733112
20260303T231001Z,APO,10,180,0.43706432323070504,0.11305189712054838
20260303T231001Z,APO,21,160,0.496178168415211,0.04393435110821697
20260303T231001Z,APO,31,160,0.5089285408624453,0.049768157612327134
20260303T231001Z,APO,42,140,0.5015806889200021,0.012714394801940582
20260303T231001Z,APP,10,160,0.4898767263912493,-0.2041566170006537
20260303T231001Z,APP,21,140,0.5275677982682815,-0.4091653610596782
20260303T231001Z,APP,31,140,0.5907221297262791,-0.5653600222407563
20260303T231001Z,APP,42,120,0.7282530139990724,-0.4738422096348318
20260303T231001Z,APTV,10,220,0.5582952541945466,-0.04168039963344633
20260303T231001Z,APTV,21,240,0.6023961145216212,-0.19927321576191787
20260303T231001Z,APTV,31,300,0.6169774602394134,-0.7324549519035359
20260303T231001Z,APTV,42,300,0.6239377939113935,-0.5185627662691883
20260303T231001Z,ARE,10,300,0.5617861183002715,0.09797963498892479
20260303T231001Z,ARE,21,300,0.619803362869844,0.16284631399135216
20260303T231001Z,ARE,31,300,0.6292047250256716,0.07575531770762767
20260303T231001Z,ARE,42,300,0.6451463261762778,-0.0010774744719698848
20260303T231001Z,ARES,10,180,0.6061683360996527,0.09975909209647928
20260303T231001Z,ARES,21,180,0.5953600296168322,0.2520068298235629
20260303T231001Z,ARES,31,300,0.5632521823955402,-0.19853000948380972
20260303T231001Z,ARES,42,300,0.5444034225253838,-0.19848522417329756
20260303T231001Z,ATO,10,120,0.3560531943685292,0.3631614710941371
20260303T231001Z,ATO,21,120,0.39385756574776665,0.4170517740738673
20260303T231001Z,ATO,31,120,0.3853235673782839,0.4811524498910916
20260303T231001Z,ATO,42,100,0.3902478297598801,0.5114135322142589
20260303T231001Z,AVB,10,300,0.5863397309283778,-0.07813014076124655
20260303T231001Z,AVB,21,300,0.6423610626953348,-0.09944482997918112
20260303T231001Z,AVB,31,300,0.6716013245755563,-0.2085083322043083
20260303T231001Z,AVB,42,300,0.7280959991037403,-0.39676757658409034
20260303T231001Z,AVGO,10,60,0.35275044130266475,0.2293001261190143
20260303T231001Z,AVGO,21,80,0.2860189725833598,-0.04604839604839605
20260303T231001Z,AVGO,31,80,0.24137544359968288,-0.0956816744293025
20260303T231001Z,AVGO,42,80,0.20746343530085098,-0.07694519275158214
20260303T231001Z,AVY,10,300,0.5296126211411427,-0.20739494248634194
