run_id,ticker,W_star,h_star,rho_train,rho_test
20260303T233831Z,EQIX,300,55,0.45618635373308336,0.6972964443509362
20260303T233831Z,EQR,300,60,0.8186804784533696,-0.8354114328868886
20260303T233831Z,EQT,20,25,0.10775945945607551,0.04746994959976704
20260303T233831Z,ERIE,240,60,0.08084514252589155,0.02137794818171256
20260303T233831Z,ES,120,10,0.40437123555914056,0.418908434649978
20260303T233831Z,ESS,300,60,0.7641991782704214,-0.503876207943529
20260303T233831Z,ETN,300,60,0.692720215162462,-0.7299292572784859
20260303T233831Z,ETR,120,10,0.46969614589485,0.18770322560470543
20260303T233831Z,EVRG,300,35,0.5678194145179035,0.32698676737250665
20260303T233831Z,EW,120,45,0.5819447662675125,0.132786420896177
20260303T233831Z,EXC,280,15,0.49974158907003496,0.020968872295164323
20260303T233831Z,EXE,20,5,0.10429273784719469,0.08901983545369928
20260303T233831Z,EXPD,280,60,0.8155119937571466,0.11890525164861449
20260303T233831Z,EXPE,300,60,0.5737185944377757,0.5085769770201748
20260303T233831Z,EXR,260,30,0.5443531057523006,0.38394294916034044
20260303T233831Z,F,220,20,0.2558768776650408,-0.19412765603726986
20260303T233831Z,FANG,280,60,0.5099973637929602,0.640397034202344
20260303T233831Z,FAST,300,60,0.43931251103658453,-0.4882634896660142
20260303T233831Z,FCX,260,30,0.3124644480022129,0.1597815854951091
20260303T233831Z,FDS,260,10,0.3010335558349367,0.06302482953148654
20260303T233831Z,FDX,300,60,0.45342693548629237,-0.7184470508453679
20260303T233831Z,FE,160,55,0.6032265999729104,0.5702792165997487
20260303T233831Z,FFIV,260,60,0.4788433943652097,0.7100645437326835
20260303T233831Z,FICO,300,50,0.41558748308228455,-0.07517627833600037
20260303T233831Z,FIS,300,60,0.7029998062565548,-0.08852858221722176
20260303T233831Z,FISV,300,35,0.5052641562451573,-0.13664973250011236
20260303T233831Z,FITB,300,60,0.6357991059204707,-0.056347579489234474
20260303T233831Z,FIX,300,60,0.6901693789557442,-0.30141947813757075
20260303T233831Z,FOX,260,60,0.5287882825685964,-0.5482344176262421
20260303T233831Z,FOXA,260,60,0.5076524658325093,-0.5754348675584967
20260303T233831Z,FRT,300,60,0.7701119279474561,0.7675508222492794
20260303T233831Z,FSLR,260,25,0.180650032090834,-0.12604481226874995
20260303T233831Z,FTNT,180,35,0.3871224307290685,0.13294114041239755
20260303T233831Z,FTV,300,60,0.6791200330007283,-0.09477058705670208
20260303T233831Z,GD,260,35,0.6475725145682476,0.6315190493615068
20260303T233831Z,GDDY,280,5,0.1698401490733743,0.12507343316808725
20260303T233831Z,GE,300,60,0.5640391790711324,-0.24713715457053465
20260303T233831Z,GEHC,280,20,0.7664635727249158,
20260303T233831Z,GEN,20,5,0.040408910570689564,0.14829608877410316
20260303T233831Z,GEV,40,5,0.6073755767672855,
20260303T233831Z,GILD,20,10,0.07024727882969618,-0.2204805826603086
20260303T233831Z,GIS,20,25,0.17816075684908045,0.22286475379781664
20260303T233831Z,GL,300,60,0.6160097858312773,-0.8371067922260067
20260303T233831Z,GLW,280,60,0.5400943453523145,0.5392250657737384
20260303T233831Z,GM,300,60,0.5849142131192193,0.1898648336235994
20260303T233831Z,GNRC,300,60,0.7032651132398264,-0.4249032874558821
20260303T233831Z,GOOG,300,60,0.8705395576215167,-0.2954086586625156
20260303T233831Z,GOOGL,300,60,0.8494849355534948,-0.22608387405021346
20260303T233831Z,GPC,280,60,0.6767468154586129,-0.2705777838521202
20260303T233831Z,GPN,300,60,0.45279462408409743,-0.19356379945440252
20260303T233831Z,GRMN,300,60,0.68641043440712,0.2436077246736433
20260303T233831Z,GS,300,60,0.6602967491851693,0.10660727771527212
20260303T233831Z,GWW,280,30,0.5828447541829498,0.12487033493925914
20260303T233831Z,HAL,260,60,0.47217178543020094,0.48707820905490645
20260303T233831Z,HAS,280,60,0.7881945527361235,0.18369665493559298
20260303T233831Z,HBAN,300,60,0.5497562478686433,-0.11277222076661066
20260303T233831Z,HCA,280,25,0.6558702219915057,-0.2160915458371427
20260303T233831Z,HD,300,50,0.5263832115988406,0.23773119744869975
20260303T233831Z,HIG,300,60,0.6561002733140924,-0.5956105605474469
20260303T233831Z,HII,280,60,0.7253102467693332,0.029188164143916357
20260303T233831Z,HLT,300,60,0.41891057560391115,-0.7234714794322087
20260303T233831Z,HOLX,20,10,0.10131290338396803,-0.16613912895879826
20260303T233831Z,HON,300,50,0.6688215407038866,-0.09150640935024398
20260303T233831Z,HOOD,260,50,0.7161471446172126,
20260303T233831Z,HPE,280,60,0.6822514980911301,-0.5699935080466055
20260303T233831Z,HPQ,300,30,0.37948939506777357,-0.1765806074264509
20260303T233831Z,HRL,40,10,0.0711027646072863,0.12061186244048779
20260303T233831Z,HSIC,300,60,0.437373003316516,0.5419909683584297
20260303T233831Z,HST,280,60,0.6702987121324289,-0.43783954624662585
20260303T233831Z,HSY,200,20,0.3238891052015277,0.5904622238794207
20260303T233831Z,HUBB,300,60,0.599105026820241,-0.35909252038284295
20260303T233831Z,HUM,40,30,0.20882900410124564,0.2620456467520183
20260303T233831Z,HWM,300,60,0.5581188869832285,0.20806682798267648
20260303T233831Z,IBKR,300,55,0.4849174910852587,-0.36162686724174203
20260303T233831Z,IBM,300,60,0.5822765140764263,-0.8177951081176889
20260303T233831Z,ICE,300,60,0.6063668314081716,-0.8208005178552162
20260303T233831Z,IDXX,300,60,0.7222421407006362,-0.23405206294406858
